4.94503, 45.68651, "Elf Saint-Priest"
4.95287, 45.71812, "Elf Saint-Priest"
4.21799, 45.74253, "Simply-market Feurs"
4.98748, 45.76804, "Leclerc Genay"
6.12839, 43.10864, "Leclerc Hyères"
5.84962, 43.12237, "Elf Ollioules"
5.87585, 43.12478, "Carrefour Ollioules"
5.90509, 43.12731, "Casino Toulon"
5.97774, 43.12763, "Intermarché Toulon"
5.98096, 43.13390, "Casino Toulon"
5.76427, 43.14753, "Super-U Bandol"
6.04478, 43.16338, "Intermarché La Farlède"
5.60241, 43.18753, "Carrefour La Ciotat"
6.04732, 43.20283, "Casino Solliès-Pont"
6.09657, 43.25139, "Intermarché Cuers"
5.59316, 43.29251, "Auchan Aubagne"
5.59686, 43.38950, "Intermarché La Destrousse"
6.33107, 43.39341, "Intermarché Le Cannet des Maures"
6.33119, 43.39353, "Intermarché Le cannet des maures"
6.06194, 43.40956, "Casino Brignoles"
6.70269, 43.44412, "Carrefour Puget sur argens"
6.93372, 43.53341, "Géant Mandelieu"
6.99598, 43.57982, "Carrefour-market Mougins"
7.08510, 43.60312, "Carrefour Antibes"
7.48786, 43.79952, "Intermarché Menton"
5.89023, 43.93179, "Intermarché La Brillanne"
5.76236, 45.20261, "Carrefour Meylan"
5.66534, 45.23976, "Carrefour Saint Egrève"
5.89247, 45.27096, "Casino Crolles"
6.35702, 45.29095, "Intermarché Hermillon"
5.50898, 45.29404, "Carrefour-market Tullins"
6.00604, 45.43531, "Super-U Pontcharra"
5.94592, 45.57367, "Carrefour Bassens"
5.89863, 45.59329, "Carrefour Chambéry"
5.91057, 45.65797, "Leclerc Drumettaz-Clarafond"
5.91062, 45.65798, "Leclerc Drumettaz Clarafond"
4.82164, 45.89241, "Leclerc Genay"
4.71746, 45.97961, "Elf Villefranche sur Saône"
4.74915, 46.10458, "Intermarche Belleville"
4.74915, 46.10458, "Intermarché Belleville"
2.96165, 46.32096, "Carrefour-market Montmarault"
3.01458, 47.19238, "Auchan La Charité sur Loire"
2.92700, 47.33215, "Elf Tracy-sur-Loire"
2.92239, 47.38624, "Auchan Cosne-Cours-sur-Loire"
