Errors,ID,Latitude,Longitude,Adresse,CP,Ville
Lat Long Vides,56230005,,,14 rue jean grimaud,56230,questembert
Marker Hors Zone,56230005,0,0,14 rue jean grimaud,56230,questembert
Inversion Lat Long,56440001,-316359,4783614,rn24 - za lanveur,56440,languidic
Inversion Lat Long,56520003,-346871.357349,4782197.6600372,voie express 165 - kerfleury,56520,guidel
Inversion Lat Long,56860001,-272181,4765024,165 route de nantes,56860,séné
Inversion Lat Long,57000005,615026,4911629,108 boulevard saint-symphorien,57050,longeville-lès-metz
Lat Long Vides,57370005,,,za louvois,57370,phalsbourg
Marker Hors Zone,57370005,0,0,za louvois,57370,phalsbourg
Lat Long Vides,57440001,,,autoroute a 4  aire de longeville st avolieu-dit nord,57740,longeville-lès-saint-avold
Marker Hors Zone,57440001,0,0,autoroute a 4  aire de longeville st avolieu-dit nord,57740,longeville-lès-saint-avold
Inversion Lat Long,58200004,292807.05916186,4741784.6966764,103 rue du maréchal leclerc,58200,cosne-cours-sur-loire
Inversion Lat Long,59000011,302417.918393,5061699.11034,91 rue du faubourg de béthune,59000,lille
Lat Long Vides,59140002,,,63 avenue des bains,59140,dunkerque
Marker Hors Zone,59140002,0,0,63 avenue des bains,59140,dunkerque
Inversion Lat Long,59470003,247040,5088011,route de begues,59470,wormhout
Lat Long Vides,60220003,,,1 rue alavoine,60220,formerie
Marker Hors Zone,60220003,0,0,1 rue alavoine,60220,formerie
Inversion Lat Long,60350001,300774,4940354,rue de soissons,60350,cuise-la-motte
Lat Vide,60490006,,0,rd 1017,60490,cuvilly
Marker Hors Zone,60490006,0,0,rd 1017,60490,cuvilly
Inversion Lat Long,61230004,29589.2882664,4879413.07679,route d'alencon,61230,gace
Lat Long Vides,62100021,,,rue des goelands zi des dunes,62100,calais
Marker Hors Zone,62100021,0,0,rue des goelands zi des dunes,62100,calais
Inversion Lat Long,62360005,161935.900338,5068880.25596,43 boulevard de la liane,62360,saint-léonard
Inversion Lat Long,63000013,309377,4576109,boulevard winston churchill,63000,clermont-ferrand
Inversion Lat Long,63500003,324943.759778,4555370.09095,61 avenue du président john f. kennedy,63500,issoire
Inversion Lat Long,66130002,263428.407389,4267661.31068,c.commercial du riberal,66130,ille-sur-têt
Lat Long Vides,67190008,,,10 boulevard clémenceau,67190,mutzig
Marker Hors Zone,67190008,0,0,10 boulevard clémenceau,67190,mutzig
Lat Long Vides,67460003,,,rue de la briquetterie,67460,souffelweyersheim
Marker Hors Zone,67460003,0,0,rue de la briquetterie,67460,souffelweyersheim
Inversion Lat Long,68100001,733873.068494,4773951.48007,24 avenue d'altkirch,68100,mulhouse
Lat Long Vides,68110004,,,cd 38 rue des vosges,68110,illzach
Marker Hors Zone,68110004,0,0,cd 38 rue des vosges,68110,illzach
Inversion Lat Long,68250001,728939.302559,4794532.72061,route nationale 83,68250,rouffach
Marker Hors Zone,69003006,5736135.10452,540375.096964,198 cours lafayette,69003,lyon
Lat Long Vides,69004006,,,71 boulevard des canuts,69004,lyon
Marker Hors Zone,69004006,0,0,71 boulevard des canuts,69004,lyon
Lat Long Vides,69250003,,,route nationale 433,69250,fleurieu-sur-saône
Marker Hors Zone,69250003,0,0,route nationale 433,69250,fleurieu-sur-saône
Inversion Lat Long,69350002,481451,4572650,66 rue stephane dechant,69350,la mulatiere
Lat Long Vides,71600006,,,33 quai de l'industrie,71600,paray-le-monial
Marker Hors Zone,71600006,0,0,33 quai de l'industrie,71600,paray-le-monial
Inversion Lat Long,71620002,499625.057775,4683772.47667,station total rn.73,71620,damerey
Inversion Lat Long,72100010,22057.623589,4798019.75343,146 avenue drue jean mac,72100,le mans
Lat Long Vides,72120006,,,2 avenue de vendome,72120,saint calais
Marker Hors Zone,72120006,0,0,2 avenue de vendome,72120,saint calais
Lat Long Vides,73260003,,,?????,73000,?????
Marker Hors Zone,73260003,0,0,?????,73000,?????
Lat Long Vides,73310002,,,zae de saumont,73310,ruffieux
Marker Hors Zone,73310002,0,0,zae de saumont,73310,ruffieux
Lat Long Vides,74000008,,,17 avenue de chambéry,74000,annecy
Marker Hors Zone,74000008,0,0,17 avenue de chambéry,74000,annecy
Inversion Lat Long,74200005,640560.274354,4634429.86814,27 avenue de genève,74200,thonon-les-bains
Lat Long Vides,74570001,,,autoroute a 41,74570,groisy
Marker Hors Zone,74570001,0,0,autoroute a 41,74570,groisy
Lat Long Vides,74600002,,,autoroute a41 aire de fontane,74600,seynod
Marker Hors Zone,74600002,0,0,autoroute a41 aire de fontane,74600,seynod
Inversion Lat Long,76100004,109262,4942734,23 boulevard de l'europe,76100,rouen
